artist,track,year,decade,duration,tempo,energy,danceability,key,genre
U2,"I Still Haven't Found What I'm Looking For",1987,1980s,265.0667,101.505,0.644,0.5378,Bb,Rock
Madonna,Hung Up,2005,2000s,337.7628,125.017,0.6401,0.6493,A,"Electronic,Pop"
Rednex,Cotton Eye Joe,1994,1990s,194.1356,131.997,0.9107,0.7353,A,"Electronic,Pop,Folk, World, & Country"
Rod Stewart,Maggie May,1971,1970s,296.84,129.047,0.6744,0.6774,D,Rock
Lady GaGa,Bad Romance,2009,2000s,233.7862,127.982,0.8625,0.6509,A,"Electronic,Hip Hop,Pop"
Savage Garden,Truly Madly Deeply,1998,1990s,277.2667,168.12,0.6984,0.5555,C,Electronic
Debbie Reynolds,Tammy,1957,1950s,189.6127,78.594,0.1698,0.2155,Ab,"Pop,Stage & Screen"
Bee Gees,Night Fever,1978,1970s,209.4,109.188,0.7952,0.6931,C#,Funk / Soul
Justin Timberlake,Sexyback,2006,2000s,265.848,116.891,0.5125,0.968,F,"Electronic,Pop"
The Kingston Trio,Tom Dooley,1958,1950s,148.6667,133.975,0.8839,0.4884,B,"Folk, World, & Country"
The Beatles,Penny Lane,1967,1960s,180.8929,112.99,0.4954,0.651,A,Rock
Billy Joel,The River of Dreams,1993,1990s,249.8636,89.729,0.6763,0.6198,G,"Rock,Pop"
"Sinead O'Connor",Nothing Compares 2 U,1990,1990s,240.28,119.898,0.5076,0.5416,F,"Electronic,Rock"
Bee Gees,How Deep is Your Love?,1977,1970s,243.6133,104.981,0.3918,0.6306,F,Pop
Whitney Houston,I Will Always Love You,1992,1990s,357.4712,131.862,0.2544,0.3066,Ab,"Funk / Soul,Pop"
Prince,Batdance,1989,1980s,246.8044,110.918,0.3979,0.6526,D,Electronic
The Bangles,Eternal Flame,1989,1980s,238.3333,78.94,0.3191,0.5188,E,Pop
Beyonce,Irreplaceable,2006,2000s,252.1676,175.598,0.584,0.4292,Bb,"Funk / Soul,Pop"
Bon Jovi,Blaze of Glory,1990,1990s,339.0933,78.586,0.6998,0.5465,G,Rock
Anita Ward,Ring My Bell,1979,1970s,212.1467,125.735,0.7923,0.7686,F,Electronic
Celine Dion,Because You Loved Me,1996,1990s,132.072,118.021,0.149,0.5659,G,"Electronic,Rock,Pop"
Tears For Fears,Shout,1985,1980s,348.9067,98.074,0.9215,0.5304,D,Electronic
Donna Summer,Hot Stuff,1979,1970s,282.6796,120.529,0.8989,0.7799,C,Electronic
Elvis Presley,All Shook Up,1957,1950s,118.3347,151.923,0.8041,0.5842,Bb,Rock
Billy Swan,I Can Help,1975,1970s,128.2933,109.792,0.32,0.7757,C,Rock
Nat King Cole,Too Young,1951,1950s,268.9467,137.685,0.2516,0.259,G,Jazz
Tony Bennett,Rags to Riches,1953,1950s,186.4667,142.851,0.4767,0.3419,C,"Jazz,Pop"
Michael Jackson,Black Or White,1991,1990s,230.8175,116.993,0.8749,0.6882,F#,Pop
Petula Clark,Downtown,1965,1960s,197.3232,112.45,0.434,0.4343,Eb,Pop
Duffy,Mercy,2008,2000s,209.0876,129.926,0.5489,0.7876,G,Funk / Soul
Elvis Presley,"(You're The) Devil in Disguise",1963,1960s,137.4267,121.223,0.6861,0.5106,F,"Rock,Pop"
Michael Jackson,"Don't Stop 'Til You Get Enough",1979,1970s,251.4,119.304,0.77,0.8372,B,Pop
The Bangles,Walk Like an Egyptian,1986,1980s,203.8667,102.99,0.8823,0.7178,B,"Rock,Pop"
Mike & The Mechanics,The Living Years,1989,1980s,319.84,97.814,0.4911,0.5145,Ab,Rock
Extreme,More Than Words,1991,1990s,210.9733,91.218,0.2559,0.6369,F#,"Rock,Pop"
Usher,Yeah!,2004,2000s,174.48,105.015,0.5708,0.8455,F,Hip Hop
Barbra Streisand,The Way We Were,1974,1970s,231.16,84.483,0.2166,0.2203,A,"Pop,Stage & Screen"
The Beatles,Michelle,1966,1960s,160.7586,116.985,0.1654,0.5677,F,Rock
R Kelly,I Believe I Can Fly,1997,1990s,320.1867,120.473,0.4599,0.4697,G,"Funk / Soul,Pop"
Christina Aguilera,Genie in a Bottle,1999,1990s,179.4903,183.817,0.6846,0.394,F,Electronic
Eiffel 65,Blue (Da Ba Dee),1999,1990s,116.2267,128.05,0.9834,0.7509,F,Electronic
Gnarls Barkley,Crazy,2006,2000s,180.3333,111.989,0.6106,0.8464,Ab,"Hip Hop,Funk / Soul"
The Beatles,Lady Madonna,1968,1960s,136.8262,109.589,0.7715,0.651,G,Rock
Men At Work,Down Under,1982,1980s,221.5916,106.67,0.636,0.7071,D,"Rock,Pop"
George Baker Selection,Una Paloma Blanca,1975,1970s,93.0133,131.787,0.8125,0.7091,F,"Rock,Funk / Soul,Pop,Stage & Screen"
David Bowie,"Let's Dance",1983,1980s,456.0167,115.113,0.8011,0.6278,Bb,"Rock,Pop"
Carl Douglas,Kung Fu Fighting,1974,1970s,192.2133,102.224,0.673,0.5797,D,Funk / Soul
Tiffany,"I Think We're Alone Now",1988,1980s,192.6533,131.977,0.8885,0.7231,G,Pop
Paul Anka,Diana,1957,1950s,172.5116,140.031,0.888,0.5472,F,"Rock,Pop"
